Datetime;Battery Level (%);5600 Pressure (Bar);5600 Temperature (°C)
2025-01-18 19:35:07.364;100;1.294;3.9
2025-01-18 19:35:07.464;100;1.294;3.9
2025-01-18 19:35:07.564;100;1.294;3.9
2025-01-18 19:35:07.663;100;1.294;3.9
2025-01-18 19:35:07.764;100;1.294;3.9
2025-01-18 19:35:07.864;100;1.293;3.9
2025-01-18 19:35:07.964;100;1.294;3.9
2025-01-18 19:35:08.064;100;1.294;3.9
2025-01-18 19:35:08.163;100;1.293;3.9
2025-01-18 19:35:08.264;100;1.294;3.9
2025-01-18 19:35:08.364;100;1.293;3.9
2025-01-18 19:35:08.464;100;1.293;3.9
2025-01-18 19:35:08.564;100;1.294;3.9
2025-01-18 19:35:08.664;100;1.294;3.9
2025-01-18 19:35:08.764;100;1.294;3.9
2025-01-18 19:35:08.864;100;1.294;3.9
2025-01-18 19:35:08.964;100;1.294;3.9
2025-01-18 19:35:09.064;100;1.267;3.9
2025-01-18 19:35:09.164;100;1.294;3.9
2025-01-18 19:35:09.264;100;1.294;3.9
2025-01-18 19:35:09.364;100;1.294;3.9
2025-01-18 19:35:09.464;100;1.294;3.9
2025-01-18 19:35:09.564;100;1.294;3.9
2025-01-18 19:35:09.663;100;1.294;3.9
2025-01-18 19:35:09.764;100;1.294;3.9
2025-01-18 19:35:09.864;100;1.294;3.9
2025-01-18 19:35:09.964;100;1.294;3.9
2025-01-18 19:35:10.064;100;1.294;3.9
2025-01-18 19:35:10.163;100;1.294;3.9
2025-01-18 19:35:10.264;100;1.294;3.9
2025-01-18 19:35:10.364;100;1.294;3.9
2025-01-18 19:35:10.464;100;1.294;3.9
2025-01-18 19:35:10.564;100;1.294;3.9
2025-01-18 19:35:10.663;100;1.294;3.9
2025-01-18 19:35:10.764;100;1.320;3.9
2025-01-18 19:35:10.864;100;1.294;3.9
2025-01-18 19:35:10.964;100;1.294;3.9
2025-01-18 19:35:11.064;100;1.294;3.9
2025-01-18 19:35:11.164;100;1.294;3.9
2025-01-18 19:35:11.264;100;1.294;3.9
2025-01-18 19:35:11.364;100;1.294;3.9
2025-01-18 19:35:11.464;100;1.294;3.9
2025-01-18 19:35:11.564;100;1.294;3.9
2025-01-18 19:35:11.664;100;1.294;3.9
2025-01-18 19:35:11.764;100;1.294;3.9
2025-01-18 19:35:11.864;100;1.294;3.9
2025-01-18 19:35:11.964;100;1.320;3.9
2025-01-18 19:35:12.064;100;1.294;3.9
2025-01-18 19:35:12.164;100;1.294;3.9
2025-01-18 19:35:12.264;100;1.294;3.9
2025-01-18 19:35:12.364;100;1.294;3.9
2025-01-18 19:35:12.464;100;1.294;3.9
2025-01-18 19:35:12.564;100;1.294;3.9
2025-01-18 19:35:12.664;100;1.294;3.9
2025-01-18 19:35:12.764;100;1.294;3.9
2025-01-18 19:35:12.864;100;1.294;3.9
2025-01-18 19:35:12.964;100;1.294;3.9
2025-01-18 19:35:13.064;100;1.294;3.9
2025-01-18 19:35:13.163;100;1.294;3.9
2025-01-18 19:35:13.264;100;1.294;3.9
2025-01-18 19:35:13.364;100;1.294;3.9
2025-01-18 19:35:13.464;100;1.294;3.9
2025-01-18 19:35:13.564;100;1.320;3.9
2025-01-18 19:35:13.663;100;1.294;3.9
2025-01-18 19:35:13.764;100;1.294;3.9
